EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1106772,ELBERT CO.,FONDIS,06/01/2023,1330,Hail,1.00, ,0,0,0,0,CO,MST-7, ,181742,C,39,BOU,0,0,Public, , , ,3,N,3,N,FONDIS,06/01/2023,1330,39.26,-104.44,39.26,-104.44,"","A severe thunderstorm produced hail up to quarter size in Elbert County.",1
1114089,KIT CARSON CO.,BURLINGTON,06/01/2023,1556,Hail,0.75, ,0,0,0,0,CO,MST-7, ,182684,C,63,GLD,0,0,Public, , , ,0,E,0,E,BURLINGTON,06/01/2023,1556,39.299,-102.261,39.299,-102.261,"Public report of 0.75 inch hail with visibility reduced to less than 0.25 mile in heavy rain. The storm did not last long.","In the middle afternoon of the the first, a cluster of storms developed in eastern Colorado and produced penny sized hail in Burlington.",2
1092538,PITKIN CO.,(ASE)ASPEN ARPT,06/02/2023,1500,Flood, , ,0,0,5000,0,CO,MST-7, ,179382,C,97,GJT,0,0,Law Enforcement,Heavy Rain / Snow Melt, , ,4,W,4,W,(ASE)ASPEN ARPT,06/02/2023,1600,39.2107,-106.9474,39.2107,-106.9478,"Accelerated snowmelt resulted in the development of a sinkhole on the edge of Brush Creek Road immediately downhill of Lower Kearns Road in Snowmass Village. The road was closed for a short while before being reopened a day or so later.","Accelerated snowmelt from a near-record snowpack due to above normal temperatures and precipitation produced high and fast flow on drainages in several west-central counties. As a result, flooding led to some damage on some roads in Pitkin County.",3
1114091,YUMA CO.,YUMA,06/02/2023,1620,Hail,0.75, ,0,0,0,0,CO,MST-7, ,182685,C,125,GLD,0,0,Trained Spotter, , , ,0,SSE,0,SSE,YUMA,06/02/2023,1620,40.1191,-102.7195,40.1191,-102.7195,"Spotter report of 0.75 inch ongoing in Yuma.","Around 5 PM MDT, a storm quickly developed near Yuma and shortly after produced 0.75 inch hail in Yuma.",4
1095326,EAGLE CO.,BURNS,06/03/2023,1100,Flood, , ,1,0,0,0,CO,MST-7, ,179833,C,37,GJT,0,0,Law Enforcement,Heavy Rain / Snow Melt, , ,0,SE,2,NW,BOND,06/03/2023,1100,39.8653,-106.875,39.8902,-106.7207,"A family rafting on the Colorado River became separated when their boat capsized due the fast and high flows as a result of recent snowmelt. First responders were able to locate all of the victims, but one minor was unresponsive to CPR.","Accelerated snowmelt from a near-record snowpack due to above normal temperatures and precipitation produced high and fast flow on drainages in several west-central counties.",5
1106773,DOUGLAS CO.,PARKER,06/06/2023,1543,Hail,1.00, ,0,0,0,0,CO,MST-7, ,181743,C,35,BOU,0,0,Trained Spotter, , , ,1,E,1,E,PARKER,06/06/2023,1543,39.52,-104.76,39.52,-104.76,"","Thunderstorms produced hail up to quarter size in parts of Arapahoe and Douglas counties.  Also a brief landspout was observed in Weld County.",6
1115316,OTERO CO.,HIGBEE,06/06/2023,1550,Heavy Rain, , ,0,0,0,0,CO,MST-7, ,182811,C,89,PUB,0,0,COOP Observer, , , ,2,SW,2,SW,HIGBEE,06/06/2023,1551,37.75,-103.48,37.75,-103.48,"There was 0.98 inches that fell within an hour.","The beginning of a very wet month began with flash flooding and a few severe weather reports in early June. There was a closed low pressure located over California bringing Pacific based moisture over southern Colorado.",7
1106774,ARAPAHOE CO.,(BKF)BUCKLEY AIR FORCE BASE,06/06/2023,1608,Hail,1.00, ,0,0,0,0,CO,MST-7, ,181743,C,5,BOU,0,0,Trained Spotter, , , ,2,NNW,2,NNW,(BKF)BUCKLEY AIR FORCE BASE,06/06/2023,1608,39.73,-104.77,39.73,-104.77,"","Thunderstorms produced hail up to quarter size in parts of Arapahoe and Douglas counties.  Also a brief landspout was observed in Weld County.",8
1115319,OTERO CO.,HIGBEE,06/06/2023,1608,Flash Flood, , ,0,0,0,0,CO,MST-7, ,182811,C,89,PUB,0,0,COOP Observer,Heavy Rain, , ,2,SW,2,SW,HIGBEE,06/06/2023,1908,37.75,-103.48,37.7494,-103.479,"Water in creek is over the road and bridge. Local estimates are that the creek is running at least 10 feet higher than normal.","The beginning of a very wet month began with flash flooding and a few severe weather reports in early June. There was a closed low pressure located over California bringing Pacific based moisture over southern Colorado.",9
1106775,ARAPAHOE CO.,AURORA CHERRY CREEK,06/06/2023,1612,Hail,1.00, ,0,0,0,0,CO,MST-7, ,181743,C,5,BOU,0,0,Trained Spotter, , , ,1,ESE,1,ESE,AURORA CHERRY CREEK,06/06/2023,1612,39.62,-104.78,39.62,-104.78,"","Thunderstorms produced hail up to quarter size in parts of Arapahoe and Douglas counties.  Also a brief landspout was observed in Weld County.",10
