EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1115860,MIAMI-DADE CO.,WESTWOOD LAKES,06/01/2023,1240,Lightning, , ,0,1,0,0,FL,EST-5, ,182838,C,86,MFL,0,0,Broadcast Media, , , ,10,WNW,10,WNW,WESTWOOD LAKES,06/01/2023,1240,25.76,-80.53,25.76,-80.53,"Broadcast Media reported that a man was hospitalized after a lightning strike Thursday afternoon at a construction site along Tamiami Trail in western Miami-Dade County.      Time based on archived lightning data from NOAA NCEI.","A tropical disturbance over the region coupled with an upper level low pressure over the Gulf of Mexico led to several strong thunderstorms over the South Florida Atlantic waters.",1
1092359,COASTAL VOLUSIA COUNTY (ZONE), ,06/02/2023,1005,Rip Current, , ,0,3,0,0,FL,EST-5, ,179344,Z,141,MLB,0,0,Broadcast Media, , , , , , , , ,06/02/2023,1005, , , , ,"Three visitors were caught in a rip current in an unguarded portion of the beach in the 1600 block of north Daytona Beach. Two made it to shore, but the third, a man in his 40s, was recused unresponsive and could not be revived. All three were transported to the hospital.","A rip current led to one fatality in north Daytona Beach.",2
1115866,BROWARD CO.,LAUDERDALE LAKES,06/02/2023,1410,Thunderstorm Wind,53.00, ,0,0,0,0,FL,EST-5,MG,182839,C,11,MFL,0,0,Mesonet, , , ,6,WNW,6,WNW,LAUDERDALE LAKES,06/02/2023,1410,26.17,-80.29,26.17,-80.29,"A thunderstorm wind gust of 61 mph was recorded at the WeatherSTEM site 1343W  in Sunrise. Small hail was also observed with this storm.","Moisture from Tropical Depression #2 in the NE Gulf of Mexico streamed across South Florida, providing support for strong to severe thunderstorms across parts of the area.",3
1115890,BROWARD CO.,PEMBROKE,06/03/2023,1200,Thunderstorm Wind,65.00, ,0,0,50000,0,FL,EST-5,EG,182840,C,11,MFL,0,0,Law Enforcement, , , ,1,WNW,1,WNW,PEMBROKE,06/03/2023,1200,25.9833,-80.1812,25.9833,-80.1812,"A partial roof collapse of a duplex apartment building was reported shortly after a thunderstorm moved through the region producing wind gusts in excess of 70 mph. Both families in the complex were forced to evacuate.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",4
1115868,BROWARD CO.,WEST HOLLYWOOD,06/03/2023,1207,Hail,1.00, ,0,0,0,0,FL,EST-5, ,182840,C,11,MFL,0,0,Emergency Manager, , , ,1,NE,1,NE,WEST HOLLYWOOD,06/03/2023,1207,26.03,-80.19,26.03,-80.19,"City of Hollywood emergency management reported quarter-sized hail and trees down in the Hollywood Hills area. Time estimated from radar.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",5
1115870,BROWARD CO.,(FLL)FT LAUDRDL INTL,06/03/2023,1219,Thunderstorm Wind,60.00, ,0,0,0,0,FL,EST-5,MG,182840,C,11,MFL,0,0,ASOS, , , ,1,WNW,1,WNW,(FLL)FT LAUDRDL INTL,06/03/2023,1219,26.0782,-80.1637,26.0782,-80.1637,"A thunderstorm produced a wind gust of 69 mph at the ASOS site KFLL at Fort Lauderdale/Hollywood International Airport.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",6
1115869,BROWARD CO.,(FLL)FT LAUDRDL INTL,06/03/2023,1220,Hail,0.88, ,0,0,0,0,FL,EST-5, ,182840,C,11,MFL,0,0,Trained Spotter, , , ,1,SE,1,SE,(FLL)FT LAUDRDL INTL,06/03/2023,1220,26.06,-80.14,26.06,-80.14,"A trained weather spotter reported nickel sized hail at the intersection of Griffin Road and U.S. 1.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",7
1115871,BROWARD CO.,(FLL)FT LAUDRDL INTL,06/03/2023,1220,Thunderstorm Wind,72.00, ,0,0,0,0,FL,EST-5,MG,182840,C,11,MFL,0,0,Mesonet, , , ,1,NE,1,NE,(FLL)FT LAUDRDL INTL,06/03/2023,1220,26.08,-80.14,26.08,-80.14,"A thunderstorm produced a wind gust of 83 mph at the WeatherFlow station 1694W at Ft Lauderdale/Hollywood International Airport.||Some empty cargo containers were blown around by the wind and hit the airport perimeter fence.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",8
1115885,BROWARD CO.,(FLL)FT LAUDRDL INTL,06/03/2023,1230,Thunderstorm Wind,63.00, ,0,0,0,0,FL,EST-5,MG,182840,C,11,MFL,0,0,Mesonet, , , ,1,NE,1,NE,(FLL)FT LAUDRDL INTL,06/03/2023,1230,26.08,-80.14,26.08,-80.14,"A thunderstorm produced a wind gust of 72 mph at WeatherSTEM station 1694W at Fort Lauderdale/Hollywood International Airport.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",9
1115883,BROWARD CO.,PORT EVERGLADES,06/03/2023,1230,Hail,1.25, ,0,0,0,0,FL,EST-5, ,182840,C,11,MFL,0,0,Public, , , ,2,WSW,2,WSW,PORT EVERGLADES,06/03/2023,1230,26.0919,-80.1528,26.0919,-80.1528,"Half dollar size hail was reported at Marina Mile Boulevard and SW 9th Avenue. At nearby Fort Lauderdale/Hollywood International Airport, a couple of cars had hail damage.","A deep flow of tropical moisture continued over South Florida associated with Tropical Storm Arlene over the NE Gulf of Mexico. This along with instability aided by a jet stream aloft led to the formation of strong and severe thunderstorms across SE Florida.",10
