EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1115216,CARIBOU CO.,CHESTERFIELD,06/01/2023,1,Flood, , ,0,0,1500000,0,ID,MST-7, ,182795,C,29,PIH,0,0,Emergency Manager,Heavy Rain / Snow Melt, , ,7,W,2,WSW,CHESTERFIELD,06/10/2023,0,42.87,-112.0182,42.8589,-111.9165,"Extreme snowmelt from heavy snowfall and extreme flows on the Portneuf River caused damage to the Chesterfield Reservoir spillway.  The old structure started to deconstruct and makeshift repairs were made to alleviate any significant flooding.   Cost to repair the damaged structure were estimated at around 1.5 million dollars.","Extreme snowmelt from heavy snowfall and extreme flows on the Portneuf River caused damage to the Chesterfield Reservoir spillway.  The old structure started to deconstruct and makeshift repairs were made to alleviate any significant flooding.   Cost to repair the damaged structure were estimated at around 1.5 million dollars.",1
1115234,BLAINE CO.,HAILEY,06/01/2023,1,Flood, , ,0,0,1900000,0,ID,MST-7, ,182802,C,13,PIH,0,0,Emergency Manager,Heavy Rain / Snow Melt, , ,4,N,4,W,HAILEY,06/28/2023,100,43.5779,-114.32,43.52,-114.3998,"Flooding due to the rise of the Big Wood River due to snowmelt and spring rains flooded parts of Hailey including War Eagle Drive, Flat Top Road, and Camp Creek Road.   Damages were estimated at 1.9 million dollars on Flat Top Road and Camp Creek Road.","Flooding due to the rise of the Big Wood River due to snowmelt and spring rains flooded parts of Hailey including War Eagle Drive, Flat Top Road, and Camp Creek Road.   Damages were estimated at 1.9 million dollars on Flat Top Road and Camp Creek Road.",2
1114455,ONEIDA CO.,CHERRY CREEK,06/01/2023,1526,Hail,1.00, ,0,0,0,0,ID,MST-7, ,182716,C,71,PIH,0,0,Emergency Manager, , , ,3,N,3,N,CHERRY CREEK,06/01/2023,1535,42.1434,-112.23,42.1434,-112.23,"","Large hail and flash flooding occurred in the southern mountains.",3
1114500,FRANKLIN CO.,BANIDA,06/01/2023,1653,Flash Flood, , ,0,0,0,0,ID,MST-7, ,182716,C,41,PIH,0,0,Department of Highways,Heavy Rain / Snow Melt, , ,1,N,3,W,BANIDA,06/01/2023,1745,42.2445,-111.93,42.23,-111.9886,"Water was running over US Highway 91 near Banida.","Large hail and flash flooding occurred in the southern mountains.",4
1094957,LEMHI CO.,ELLIS,06/04/2023,2000,Debris Flow, , ,0,0,0,0,ID,MST-7, ,179781,C,59,MSO,0,0,Department of Highways,Heavy Rain, , ,14,NNE,14,NNE,ELLIS,06/04/2023,2100,44.8974,-113.9675,44.8939,-113.9607,"The Idaho Transportation Department reported that a major landslide occurred which covered US-93 in both directions near Warm Springs Road at milepost 282 near Elk Bend.","Heavy rain fell from thunderstorms and produced a couple of debris flows Sunday evening.",5
1094961,LEMHI CO.,SHOUP,06/04/2023,2045,Debris Flow, , ,0,0,0,0,ID,MST-7, ,179781,C,59,MSO,0,0,Park/Forest Service,Heavy Rain / Burn Area, , ,3,SW,3,SW,SHOUP,06/04/2023,2130,45.3572,-114.3167,45.3488,-114.325,"The Salmon-Challis National Forest reported that a landslide had fully blocked the Salmon River Road, one mile southwest of Pine Creek.","Heavy rain fell from thunderstorms and produced a couple of debris flows Sunday evening.",6
1094974,LEMHI CO.,LEESBURG,06/06/2023,1400,Flash Flood, , ,0,0,0,0,ID,MST-7, ,179786,C,59,MSO,0,0,Public,Heavy Rain / Burn Area, , ,2,N,2,N,LEESBURG,06/06/2023,1530,45.2494,-114.1079,45.2505,-114.0965,"The Beartrack Mine reported significant runoff on several of the nearby drainages, and the flood waters including soot from the 2022 Moose Creek wildfire overflowed several structures with no significant damage.","Anomalous atmospheric moisture with slow moving thunderstorms triggered a few debris flows in Lemhi County.",7
1106510,BOISE CO.,GARDEN VLY,06/06/2023,1600,Thunderstorm Wind,54.00, ,0,0,0,0,ID,MST-7,MG,181430,C,15,BOI,0,0,Mesonet, , , ,2,SSE,2,SSE,GARDEN VLY,06/06/2023,1700,44.05,-115.44,44.05,-115.44,"The mesonet station, JKPI1, 8.7 miles East of Lowman, ID measured 54 knots of wind.","Thunderstorms developed across southwest Idaho early Tuesday evening and produced |heavy rain and strong winds across portions of the Lower Treasure Valley, including the city of Boise. Social media, weather spotters, and emergency manager reports indicated flooding of many streets in downtown Boise and the North-End Boise area. Water overwhelmed  storm water drainages and flowed onto sidewalks and lawns. Water up to two feet deep left several vehicles stranded in the downtown area. The Connector, a major commuter route to downtown Boise was flooded, as were some apartments, and several buildings on the Boise State University campus. Rainfall rates over one inch an hour occurred with localized  rainfall totals up to 1.85 inches between 6 PM and 10 PM MDT. ||Blowing dust reducing visibility and high winds formed with a strong outflow boundary near the Nevada border around 5pm MDT. Wind damage was reported from Grandview, ID to downtown Meridian, ID.",8
1108873,BOISE CO.,GARDEN VLY,06/06/2023,1600,Thunderstorm Wind,54.00, ,0,0,0,0,ID,MST-7,MG,181430,C,15,BOI,0,0,Mesonet, , , ,2,SSE,2,SSE,GARDEN VLY,06/06/2023,1700,44.05,-115.44,44.05,-115.44,"The mesonet station, JKPI1, 8.7 miles east of Lowman measured strong wind around 51 knots.","Thunderstorms developed across southwest Idaho early Tuesday evening and produced |heavy rain and strong winds across portions of the Lower Treasure Valley, including the city of Boise. Social media, weather spotters, and emergency manager reports indicated flooding of many streets in downtown Boise and the North-End Boise area. Water overwhelmed  storm water drainages and flowed onto sidewalks and lawns. Water up to two feet deep left several vehicles stranded in the downtown area. The Connector, a major commuter route to downtown Boise was flooded, as were some apartments, and several buildings on the Boise State University campus. Rainfall rates over one inch an hour occurred with localized  rainfall totals up to 1.85 inches between 6 PM and 10 PM MDT. ||Blowing dust reducing visibility and high winds formed with a strong outflow boundary near the Nevada border around 5pm MDT. Wind damage was reported from Grandview, ID to downtown Meridian, ID.",9
1101166,LEMHI CO.,(SMN)SALMON ARPT,06/06/2023,1600,Debris Flow, , ,0,0,0,0,ID,MST-7, ,179786,C,59,MSO,0,0,Department of Highways,Heavy Rain, , ,8,SSW,8,SSW,(SMN)SALMON ARPT,06/06/2023,1830,45.0115,-113.9236,45.014,-113.9282,"A dispatcher reported flooding with mud and rocks across the north bound lane of US-93 near Twelve Mile County Road. The location was near milepost 292.9 north of Elk Bend.","Anomalous atmospheric moisture with slow moving thunderstorms triggered a few debris flows in Lemhi County.",10
1106513,OWYHEE CO.,BRUNEAU,06/06/2023,1630,Thunderstorm Wind,52.00, ,0,0,0,0,ID,MST-7,MG,181430,C,73,BOI,0,0,Trained Spotter, , , ,5,SW,5,SW,BRUNEAU,06/06/2023,1730,42.84,-115.86,42.84,-115.86,"Significant crop damage was reported due to a large outflow boundary from a storm.","Thunderstorms developed across southwest Idaho early Tuesday evening and produced |heavy rain and strong winds across portions of the Lower Treasure Valley, including the city of Boise. Social media, weather spotters, and emergency manager reports indicated flooding of many streets in downtown Boise and the North-End Boise area. Water overwhelmed  storm water drainages and flowed onto sidewalks and lawns. Water up to two feet deep left several vehicles stranded in the downtown area. The Connector, a major commuter route to downtown Boise was flooded, as were some apartments, and several buildings on the Boise State University campus. Rainfall rates over one inch an hour occurred with localized  rainfall totals up to 1.85 inches between 6 PM and 10 PM MDT. ||Blowing dust reducing visibility and high winds formed with a strong outflow boundary near the Nevada border around 5pm MDT. Wind damage was reported from Grandview, ID to downtown Meridian, ID.",11
1114610,CASSIA CO.,ELBA,06/06/2023,1630,Thunderstorm Wind,51.00, ,0,0,0,0,ID,MST-7,MG,182725,C,31,PIH,0,0,Mesonet, , , ,0,N,0,N,ELBA,06/06/2023,1645,42.25,-113.55,42.25,-113.55,"A 59 mph wind gust measured in Elba.","Thunderstorm winds over 58 mph occurred in the southern highlands.",12
1114601,ONEIDA CO.,JUNIPER,06/06/2023,1650,Thunderstorm Wind,61.00, ,0,0,0,0,ID,MST-7,MG,182725,C,71,PIH,0,0,Mesonet, , , ,1,W,1,W,JUNIPER,06/06/2023,1700,42.13,-112.9898,42.13,-112.9898,"A 70 mph thunderstorm outflow wind gust measured at interstate 84 Juniper site.","Thunderstorm winds over 58 mph occurred in the southern highlands.",13
1108869,OWYHEE CO.,GRANDVIEW,06/06/2023,1700,Thunderstorm Wind,54.00, ,0,0,0,0,ID,MST-7,MG,181430,C,73,BOI,0,0,Mesonet, , , ,5,SSE,5,SSE,GRANDVIEW,06/06/2023,1900,42.91,-116.06,42.91,-116.06,"The mesonet station, GDVI, 5.2 miles southeast of Grandview measured a strong wind gust of 54 knots.","Thunderstorms developed across southwest Idaho early Tuesday evening and produced |heavy rain and strong winds across portions of the Lower Treasure Valley, including the city of Boise. Social media, weather spotters, and emergency manager reports indicated flooding of many streets in downtown Boise and the North-End Boise area. Water overwhelmed  storm water drainages and flowed onto sidewalks and lawns. Water up to two feet deep left several vehicles stranded in the downtown area. The Connector, a major commuter route to downtown Boise was flooded, as were some apartments, and several buildings on the Boise State University campus. Rainfall rates over one inch an hour occurred with localized  rainfall totals up to 1.85 inches between 6 PM and 10 PM MDT. ||Blowing dust reducing visibility and high winds formed with a strong outflow boundary near the Nevada border around 5pm MDT. Wind damage was reported from Grandview, ID to downtown Meridian, ID.",14
1108870,ELMORE CO.,(MUO)MOUNTAIN HOME A,06/06/2023,1710,Thunderstorm Wind,52.00, ,0,0,0,0,ID,MST-7,MG,181430,C,39,BOI,0,0,AWOS, , , ,1,S,1,S,(MUO)MOUNTAIN HOME A,06/06/2023,1910,43.03,-115.87,43.03,-115.87,"The AWOS Station at Mountain Home Air Force Base measured 52 knots of wind.","Thunderstorms developed across southwest Idaho early Tuesday evening and produced |heavy rain and strong winds across portions of the Lower Treasure Valley, including the city of Boise. Social media, weather spotters, and emergency manager reports indicated flooding of many streets in downtown Boise and the North-End Boise area. Water overwhelmed  storm water drainages and flowed onto sidewalks and lawns. Water up to two feet deep left several vehicles stranded in the downtown area. The Connector, a major commuter route to downtown Boise was flooded, as were some apartments, and several buildings on the Boise State University campus. Rainfall rates over one inch an hour occurred with localized  rainfall totals up to 1.85 inches between 6 PM and 10 PM MDT. ||Blowing dust reducing visibility and high winds formed with a strong outflow boundary near the Nevada border around 5pm MDT. Wind damage was reported from Grandview, ID to downtown Meridian, ID.",15
