EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1098252,NYE CO.,CURRANT,06/01/2023,1137,Thunderstorm Wind,57.00, ,0,0,0,0,NV,PST-8,MG,180259,C,23,LKN,0,0,RAWS, , , ,19,E,19,E,CURRANT,06/01/2023,1237,38.71,-115.13,38.71,-115.13,"Station (SEVN2) Seven Mile Raws, Elevation 7725 feet.","Storms produce gusty outflow winds across the area.",1
1098250,EUREKA CO.,TONKIN,06/01/2023,1538,Thunderstorm Wind,57.00, ,0,0,0,0,NV,PST-8,MG,180259,C,11,LKN,0,0,Mesonet, , , ,9,SSW,9,SSW,TONKIN,06/01/2023,1638,39.83,-116.49,39.83,-116.49,"Station (COIN2) Coils Creek, Elevation 6745 feet.","Storms produce gusty outflow winds across the area.",2
1098247,HUMBOLDT (ZONE), ,06/01/2023,1618,High Wind,37.00, ,0,0,0,0,NV,PST-8,MS,180259,Z,30,LKN,0,0,Mesonet, , , , , , , , ,06/01/2023,1718, , , , ,"Station (UR013) Wcrln2 upr, Elevation 4857 feet. Resulted from a collapsing thunderstorm.","Storms produce gusty outflow winds across the area.",3
1098257,NYE CO.,CURRANT,06/04/2023,1337,Thunderstorm Wind,50.00, ,0,0,0,0,NV,PST-8,MG,180266,C,23,LKN,0,0,Emergency Manager, , , ,19,E,19,E,CURRANT,06/04/2023,1437,38.71,-115.13,38.71,-115.13,"Station (SEVN2) Seven Mile Raws, Elevation 7725 feet.","An area of thunderstorms across central Nye county produced gusty outflow winds.",4
1098258,ELKO CO.,MOOR,06/05/2023,1525,Tornado, ,EFU,0,0,0,0,NV,PST-8, ,180267,C,7,LKN,0,0,Public, ,0.5,500,6,SSW,6,SSW,MOOR,06/05/2023,1625,41.03,-114.84,41.03,-114.84,"Public submitted photos of a tornado SE of Wells over mountainous terrain of the Wood Hills area. No survey was conducted due to no apparent damage and inaccessible or remote terrain. Path length an width were guessed at.","Showers and thunderstorms produced gusty outflow winds and a brief tornado.",5
1098364,ELKO CO.,ARTHUR,06/05/2023,1603,Thunderstorm Wind,50.00, ,0,0,0,0,NV,PST-8,MG,180267,C,7,LKN,0,0,RAWS, , , ,7,WSW,7,WSW,ARTHUR,06/05/2023,1703,40.73,-115.25,40.73,-115.25,"Station (RBVN2) Ruby Valley Raws, Elevation 6899 feet.","Showers and thunderstorms produced gusty outflow winds and a brief tornado.",6
1111752,LAS VEGAS VALLEY (ZONE), ,06/06/2023,0,Heat, , ,2,0,0,0,NV,PST-8, ,182466,Z,20,VEF,0,0,County Official, , , , , , , , ,06/06/2023,2359, , , , ,"Two people died in Las Vegas of heat-related causes.","Two people died in Las Vegas of heat-related causes.",7
1098361,ELKO CO.,WEST WENDOVER,06/06/2023,1419,Thunderstorm Wind,55.00, ,0,0,0,0,NV,PST-8,MG,180288,C,7,LKN,0,0,Mesonet, , , ,1,SSW,1,SSW,WEST WENDOVER,06/06/2023,1519,40.73,-114.09,40.73,-114.09,"Station (UP994) 3.1 SE West Wendover upr, Elevation 4408 feet.","A frontal passage produced showers and thunderstorms across much of northern Nevada. As a result, gusty outflow winds occurred.",8
1098363,ELKO CO.,BULLION,06/06/2023,1426,Thunderstorm Wind,56.00, ,0,0,0,0,NV,PST-8,MG,180288,C,7,LKN,0,0,RAWS, , , ,9,ESE,9,ESE,BULLION,06/06/2023,1526,40.46,-115.85,40.46,-115.85,"Station (CRSN2) Crane Springs Raws, Elevation 6414 feet.","A frontal passage produced showers and thunderstorms across much of northern Nevada. As a result, gusty outflow winds occurred.",9
1136127,WESTERN NEVADA BASIN AND RANGE (ZONE), ,06/06/2023,1453,High Wind,50.00, ,0,0,0,0,NV,PST-8,MG,185309,Z,4,REV,0,0,Mesonet, , , , , , , , ,06/06/2023,1453, , , , ,"Mesonet station (TORNV) located 9.8 NE of Trinity Junction (NV DOT) reported a peak wind gust of 58 mph.","The combination of afternoon instability as well as increasing mid-level moisture pushing northward on the eastern flank of an upper level low that moved over SoCal and stalled over central-southern California. This upper feature introduced a daily chance of showers and thunderstorms during the first week of June.",10
