EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1196042,TOOELE CO.,GRANTSVILLE,06/03/2023,1000,Hail,1.00, ,0,0,0,0,UT,MST-7, ,193592,C,45,SLC,0,0,Public, , , ,2,W,2,W,GRANTSVILLE,06/03/2023,1000,40.6,-112.51,40.6,-112.51,"Hail ranged in size from one half inch to one inch in diameter. Time is estimated by RADAR.","Thunderstorms brought hail to portions of northern Utah.",1
1196043,SALT LAKE CO.,SALT LAKE NO TWO ARP,06/03/2023,1140,Hail,1.00, ,0,0,0,0,UT,MST-7, ,193592,C,35,SLC,0,0,Public, , , ,2,ESE,2,ESE,SALT LAKE NO TWO ARP,06/03/2023,1140,40.61,-111.97,40.61,-111.97,"Quarter sized hail was estimated in West Jordan.","Thunderstorms brought hail to portions of northern Utah.",2
1196044,SALT LAKE CO.,MURRAY,06/03/2023,1203,Hail,1.00, ,0,0,0,0,UT,MST-7, ,193592,C,35,SLC,0,0,Public, , , ,1,SW,1,SW,MURRAY,06/03/2023,1203,40.66,-111.89,40.66,-111.89,"One inch hail was reported in Murray.","Thunderstorms brought hail to portions of northern Utah.",3
1196045,SALT LAKE CO.,TAYLORSVILLE,06/03/2023,1208,Funnel Cloud, , ,0,0,0,0,UT,MST-7, ,193592,C,35,SLC,0,0,Public, , , ,1,SW,1,SW,TAYLORSVILLE,06/03/2023,1208,40.66,-111.94,40.66,-111.94,"Photos from social media showed a funnel cloud looking east from Taylorsville.","Thunderstorms brought hail to portions of northern Utah.",4
1196047,TOOELE CO.,(DPG)MICHAEL AAF DUG,06/06/2023,1315,Thunderstorm Wind,52.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,3,ESE,3,ESE,(DPG)MICHAEL AAF DUG,06/06/2023,1315,40.16,-112.89,40.16,-112.89,"A wind gust of 60 mph was recorded at the White Sage mesonet site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",5
1196048,TOOELE CO.,(DPG)MICHAEL AAF DUG,06/06/2023,1335,Thunderstorm Wind,51.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,4,SSW,4,SSW,(DPG)MICHAEL AAF DUG,06/06/2023,1335,40.12,-112.95,40.12,-112.95,"A wind gust of 59 mph was recorded at the Camel Back Mountain mesonet site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",6
1196049,TOOELE CO.,(DPG)MICHAEL AAF DUG,06/06/2023,1355,Thunderstorm Wind,53.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,20,NW,20,NW,(DPG)MICHAEL AAF DUG,06/06/2023,1355,40.34,-113.24,40.34,-113.24,"A wind gust of 61 mph was recorded at the Salt Flats mesonet site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",7
1196051,TOOELE CO.,BARRO,06/06/2023,1410,Thunderstorm Wind,50.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,19,S,19,S,BARRO,06/06/2023,1410,40.45,-113.47,40.45,-113.47,"A wind gust of 58 mph was recorded at the Wildcat Mountain mesonet site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",8
1196864,TOOELE CO.,ARINOSA,06/06/2023,1441,Thunderstorm Wind,61.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,4,E,4,E,ARINOSA,06/06/2023,1441,40.73,-113.58,40.73,-113.58,"A wind gust of 70 mph was recorded at the Arnosa mesonet site. Other wind gusts included 64 mph at the I-80 @ mp 29 site and 61 mph at the Wendover Port of Entry site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",9
1196055,TOOELE CO.,SALDURO,06/06/2023,1445,Thunderstorm Wind,51.00, ,0,0,0,0,UT,MST-7,MG,182389,C,45,SLC,0,0,Mesonet, , , ,4,NNE,4,NNE,SALDURO,06/06/2023,1445,40.78,-113.83,40.78,-113.83,"A wind gust of 59 mph was recorded at the Bonneville Salt Flats mesonet site.","Thunderstorms brought rain and gusty outflow winds to portions of northern Utah.",10
